col1,col2,col3,col4,target
-0.53966,7.3273,0.46583,-1.4543,1
0.5195,-3.2633,3.0895,-0.9849,1
1.0235,6.901,-2.0062,-2.7125,1
3.744,0.79459,0.95851,1.0077,1
2.8209,7.3108,-0.81857,-1.8784,1
3.2422,6.2265,0.12224,-1.4466,1
4.2027,0.22761,0.96108,0.97282,1
1.6426,3.0149,0.22849,-0.147,1
4.9342,2.4107,-0.17594,1.6245,1
2.8237,2.8597,0.19678,0.57196,1
1.5902,2.2948,3.2403,0.18404,1
4.364,-3.1039,2.3757,0.78532,1
4.7072,8.2957,-2.5605,-1.4905,1
2.4008,9.3593,-3.3565,-3.3526,1
1.7496,-0.1759,5.1827,1.2922,1
0.12326,8.9848,-0.9351,-2.4332,1
3.8999,1.734,1.6011,0.96765,1
0.5706,-0.0248,1.2421,-0.5621,1
4.7114,2.0755,-0.2702,1.2379,1
3.5829,1.4423,1.0219,1.4008,1
1.4276,8.3847,-2.0995,-1.9677,1
3.2704,6.9321,-1.0456,0.23447,1
3.4359,0.66216,2.1041,1.8922,1
2.7206,9.0821,-3.3111,-0.96811,1
0.5195,-3.2633,3.0895,-0.9849,1
3.2403,-3.7082,5.2804,0.41291,1
1.7452,4.8028,2.0878,0.62627,1
1.0191,2.33,4.9334,0.82929,1
3.5152,6.8224,-0.67377,-0.46898,1
0.93611,8.6413,-1.6351,-1.3043,1
0.33111,4.5731,2.057,-0.18967,1
3.5912,3.0129,0.72888,0.56421,1
5.7867,7.8902,-2.6196,-0.48708,1
0.96788,7.1907,1.2798,-2.4565,1
2.8561,6.9176,-0.79372,0.48403,1
1.3349,6.1189,0.46497,0.49826,1
-0.2951,9.0489,-0.52725,-2.0789,1
-0.91718,9.9884,1.1804,-5.2263,1
-0.38214,8.3909,2.1624,-3.7405,1
2.9233,6.0464,-0.11168,-0.58665,1
4.0932,5.4132,-1.8219,0.23576,1
5.0691,0.21313,0.20278,1.2095,1
-1.3931,1.5664,7.5382,0.78403,1
-0.96511,9.4111,1.7305,-4.8629,1
-1.1391,1.8127,6.9144,0.70127,1
4.0405,0.51524,1.0279,1.106,1
3.8644,3.7061,0.70403,0.35214,1
3.245,6.63,-0.63435,0.86937,1
2.0193,0.82356,4.6369,1.4202,1
4.2969,7.617,-2.3874,-0.96164,1
2.9163,10.8306,-3.3437,-4.122,1
3.6244,1.4609,1.3501,1.9284,1
4.1962,0.74493,0.83256,0.753,1
-2.0897,10.8265,2.3603,-3.4198,1
-1.6677,-7.1535,7.8929,0.96765,1
-0.89409,3.1991,-1.8219,-2.9452,1
0.3434,0.12415,-0.28733,0.14654,1
-0.36506,2.8928,-3.6461,-3.0603,1
-1.8187,-9.0366,9.0162,-0.12243,1
-1.8219,-6.8824,5.4681,0.057313,1
-0.3481,-0.38696,-0.47841,0.62627,1
-3.4083,4.8587,-0.76888,-4.8668,1
-1.6662,-0.30005,1.4238,0.024986,1
-2.0962,-7.1059,6.6188,-0.33708,1
-0.47465,-4.3496,1.9901,0.7517,1
1.0552,1.1857,-2.6411,0.11033,1
-2.286,-5.4484,5.8039,0.88231,1
-1.6244,-6.3444,4.6575,0.16981,1
0.50813,0.47799,-1.9804,0.57714,1
1.6408,4.2503,-4.9023,-2.6621,1
0.6005,1.9327,-3.2888,-0.32415,1
-0.28015,3.0729,-3.3857,-2.9155,1
-4.2932,3.3419,0.77258,-0.99785,1
-1.7015,-0.010356,-0.99337,-0.53104,1
-3.1128,-6.841,10.7402,-1.0172,1
-1.979,3.2301,-1.3575,-2.5819,1
-0.4294,-0.14693,0.044265,-0.15605,1
-2.234,-7.0314,7.4936,0.61334,1
-2.2482,3.0915,-2.3969,-2.6711,1
-1.522,-6.6383,5.7491,-0.10691,1
